series_key,model_name,model_family,horizon,n_points,MAE,RMSE,wMAPE,signed_bias,error_variability,std_score_MAE
EUR-MSIT,Theta,statistical,30,12,57.7718,71.6411,3.2187,29.4732,65.2976,-0.219
ISR-Go Local,FixedGrowth_1_5,growth_baseline,30,12,54.4565,65.5734,5.1739,-47.8676,44.817,-0.219
SGP-Go Local,ETS_Current,statistical,30,10,53.6854,74.9345,1.6676,25.9872,70.284,-0.219
EUR-MSIT,XGBoost,machine_learning,30,12,48.7785,73.1373,2.7176,36.659,63.2865,-0.22
EUR-MSIT,ETS_Current,statistical,30,12,46.7183,57.9022,2.6028,6.4006,57.5474,-0.22
ISR-Go Local,Theta,statistical,30,12,51.3339,62.723,4.8772,-42.9514,45.7095,-0.22
MEX-Go Local,FixedGrowth_6,growth_baseline,30,12,45.377,66.1646,4.1521,-28.2266,59.8415,-0.22
MEX-Go Local,AutoARIMA,statistical,30,12,49.9397,91.2507,4.5696,-12.8078,90.3474,-0.22
MEX-Go Local,ETS Explicit,statistical,30,12,46.2889,85.6793,4.2355,-11.8872,84.8507,-0.22
NZL-Go Local,FixedGrowth_1_5,growth_baseline,30,7,48.2978,86.0494,14.004,-45.9509,72.7531,-0.22
NZL-Go Local,FixedGrowth_3,growth_baseline,30,7,46.2269,83.8315,13.4036,-41.5332,72.8197,-0.22
NZL-Go Local,FixedGrowth_4,growth_baseline,30,7,44.8463,82.47,13.0033,-38.588,72.8853,-0.22
NZL-Go Local,LinearRegression,machine_learning,30,7,45.4021,81.7298,13.1644,-19.7953,79.2963,-0.22
NZL-Go Local,XGBoost,machine_learning,30,7,50.6198,89.0587,14.6773,-50.6198,73.2741,-0.22
EUR-MSIT,FixedGrowth_1_5,growth_baseline,30,12,42.7053,53.8238,2.3793,37.1642,38.9336,-0.221
ISR-Go Local,FixedGrowth_3,growth_baseline,30,12,42.4803,55.1671,4.0361,-33.0206,44.1934,-0.221
NZL-Go Local,FixedGrowth_6,growth_baseline,30,7,42.261,80.0496,12.2536,-32.6977,73.0671,-0.221
NZL-Go Local,ARIMA_Fixed,statistical,30,7,38.4004,75.5891,11.1343,-23.3338,71.8975,-0.221
NZL-Go Local,Theta,statistical,30,7,44.1678,83.5651,12.8065,-41.0592,72.7823,-0.221
SGP-Go Local,AutoARIMA,statistical,30,10,42.4498,64.9394,1.3186,-1.9741,64.9094,-0.221
EUR-MSIT,LinearRegression,machine_learning,30,12,37.2042,47.0227,2.0728,23.7903,40.5605,-0.222
EUR-MSIT,AutoARIMA,statistical,30,12,36.9977,47.7624,2.0613,17.0873,44.6013,-0.222
EUR-MSIT,ETS Explicit,statistical,30,12,35.6739,46.1353,1.9875,24.1686,39.2982,-0.222
ISR-Go Local,FixedGrowth_4,growth_baseline,30,12,35.0963,49.6488,3.3345,-23.1225,43.9357,-0.222
ISR-Go Local,LinearRegression,machine_learning,30,12,37.1001,63.9643,3.5249,-14.7916,62.2305,-0.222
ISR-Go Local,AutoARIMA,statistical,30,12,36.9205,56.8505,3.5078,-12.0352,55.562,-0.222
NZL-Go Local,AutoARIMA,statistical,30,7,35.9005,76.0955,10.4094,-34.8515,67.6454,-0.222
NZL-Go Local,ETS Explicit,statistical,30,7,33.7934,75.1179,9.7984,-31.6809,68.1103,-0.222
NZL-Go Local,ETS_Current,statistical,30,7,36.1755,73.2543,10.4892,-25.6137,68.6303,-0.222
ISR-Go Local,FixedGrowth_6,growth_baseline,30,12,29.0084,43.9353,2.7561,-3.3264,43.8092,-0.223
NAM-TDF,LightGBM,machine_learning,30,12,17.7195,19.5281,39.9113,-16.5425,10.3774,-0.224
NAM-TDF,XGBoost,machine_learning,30,12,21.2171,26.6847,47.7892,-19.7343,17.9619,-0.224
NAM-TDF,FastNeuralAR_MLP,lightweight_neural,30,12,13.8581,15.1516,31.2138,-13.8581,6.1258,-0.225
NAM-TDF,ARIMA_Fixed,statistical,30,12,11.9315,23.6384,26.8745,-4.0307,23.2923,-0.225
NAM-TDF,ETS_Current,statistical,30,12,13.7279,27.2288,30.9206,8.2119,25.961,-0.225
NAM-TDF,FixedGrowth_1_5,growth_baseline,30,12,2.7112,3.4774,6.1068,0.8525,3.3713,-0.226
NAM-TDF,FixedGrowth_3,growth_baseline,30,12,2.7543,3.7265,6.2037,1.5212,3.4019,-0.226
NAM-TDF,FixedGrowth_4,growth_baseline,30,12,2.8929,3.9479,6.5159,1.967,3.423,-0.226
NAM-TDF,FixedGrowth_6,growth_baseline,30,12,3.4749,4.4934,7.8268,2.8586,3.4668,-0.226
NAM-TDF,LinearRegression,machine_learning,30,12,4.5574,5.5718,10.2652,-2.9042,4.7551,-0.226
NAM-TDF,AutoARIMA,statistical,30,12,4.4933,5.0369,10.1206,-0.6263,4.9978,-0.226
NAM-TDF,ETS Explicit,statistical,30,12,2.7111,3.5301,6.1064,0.9709,3.3939,-0.226
NAM-TDF,Theta,statistical,30,12,2.8481,3.6021,6.415,1.0594,3.4428,-0.226
